"mat_code";"gcn_no";"gcn_date";"grn_no";"grn_date";"po_no";"po_date";"receiver_id";"consignee_id";"po_sl_no";"part_id";"part_name";"qty_delivered";"uom";"unit_price";"taxable_amt";"cgst_price";"sgst_price";"igst_price";"rejected_item"
"MEE";"039/2023-24";"11-07-2023";"SC232400169";"05-07-2023";"PUR/JW/2021000011";"03-12-2020";"side";"side";22;"F5-61M1";"COVER RETAINER, DISCHARGE  SIZE A/B/C, WELL SERVICE PUMP MACHINED";95;"Nos";671.0;63745.0;5737.05;5737.05;0.0;0
"MEE";"040/2023-24";"13-07-2023";"2023-24/05181";"19-06-2023";"2023-24/00016";"03/04/2023";"hite";"hite";1;"4431";"SUPPORT CASTING BRACKET TRANSFORMER";21;"Nos";3880.0;81480.0;0.0;0.0;14666.4;0
"MEE";"041/2023-24";"14-07-2023";"2023-24/06081";"05-07-2023 ";"2023-24/00022 ";"04-04-2023";"hite";"alst";1;"4617";"BRACKET-NH00002647283";33;"Nos";1420.0;46860.0;0.0;0.0;8434.8;0
"MEE";"042/2023-24";"15-07-2023";"2023-24/06080";"05-07-2023";"2023-24/00022";"04-04-2023";"hite";"alst";1;"4617";"BRACKET-NH00002647283";52;"Nos";1420.0;73840.0;0.0;0.0;13291.2;0
"MEE";"043/2023-24";"21-07-2023";"060";"18-07-2023";"PUR-ORD-22-23-0260";"05-04-2022";"icam";"icam";1;"AR00000176807";"ERMTS INTERMEDITATE COVER";4;"Nos";883.0;3532.0;317.88;317.88;0.0;0
"MEE";"044/2023-24";"26-07-2023";"495/2023-24";"22-07-2023";"63/2020-2021 ";"18-06-2020";"amst";"amst";1;"AT00000461232,D";"END SHIELD-DRIVING SIDE PART";39;"Nos";18000.0;702000.0;0.0;0.0;126360.0;0
"MEE";"045/2023-24";"28-07-2023";"509/23-24";"26-07-2023";"63/2020-2021 ";"18-06-2020";"amst";"amst";2;"AT0000055373,B";"END SHIELD-NON DRIVING SIDE PART";12;"Nos";18000.0;216000.0;0.0;0.0;38880.0;0
"MEE";"046/2023-24";"28-07-2023";"2023-24/06713";"17-07-2023";"2023-24/00017";"03-04-2023";"hite";"alst";1;"4344";"SUPPORT CASTING BRACKET AGTU-NH00001762693";57;"Nos";1240.0;70680.0;0.0;0.0;12722.4;0
"MEE";"046/2023-24";"28-07-2023";"2023-24/06714";"17-07-2023";"2023-24/00017";"03-04-2023";"hite";"alst";2;"4348";"SUPPORT CASTING BRACKET TRANSFORMER-NH00001762423";66;"Nos";3880.0;256080.0;0.0;0.0;46094.4;0
"MEE";"047/2023-24";"31-07-2023";"SC232400207";"24-07-2023";"PUR/JW/2021000011";"03-12-2020";"side";"side";20;"F5-67M";"COVER ROUGH MACHINED DISCHARGE SIZE A/B/C WELL SERVICE PUMP ASSEMBLED";150;"Nos";250.0;37500.0;3375.0;3375.0;0.0;0
"MEE";"048/2023-24";"01-08-2023";"2023-24/06723";"17-07-2023";"2023-24/00016";"03-04-2023";"hite";"hite";1;"4431";"SUPPORT CASTING BRACKET TRANSFORMER";24;"Nos";3880.0;93120.0;0.0;0.0;16761.6;0
"MEE";"049/2023-24";"02-08-2023";"535/23-24";"29-07-2023";"63/2020-2021";"18-06-2020";"amst";"amst";2;"AT0000055373,B";"END SHIELD-NON DRIVING SIDE PART";26;"Nos";18000.0;468000.0;0.0;0.0;84240.0;0
"MEE";"050/2023-24";"02-08-2023";"SC232400217";"28-07-2023";"PUR/JW/2021000011";"03-12-2020";"side";"side";12;"A14-09M";"LIFTING STOP_RAL9005";50;"Nos";1690.0;84500.0;7605.0;7605.0;0.0;0
"MEE";"050/2023-24";"02-08-2023";"SDC232400304";"28-07-2023";"PUR/JW/2021000011";"03-12-2020";"side";"side";17;"A14-10M";"BREAK SUPPORT FS LH  MACHINED";2;"Nos";2050.0;4100.0;369.0;369.0;0.0;0
"MEE";"051/2023-24";"04-08-2023";"SC232400219";"30-07-2023";"PUR/JW/2021000011";"03-12-2020";"side";"side";19;"F5-61";"COVER RETAINER SUCTION SIZE A/B/C WELL SERVICE PUMP SERIES 200 COMMON FORGING";48;"Nos";697.0;33456.0;3011.04;3011.04;0.0;0
"MEE";"051/2023-24";"04-08-2023";"SC232400218";"29-07-2023";"PUR/JW/2021000011";"03-12-2020";"side";"side";20;"F5-67M";"COVER ROUGH MACHINED DISCHARGE SIZE A/B/C WELL SERVICE PUMP ASSEMBLED";41;"Nos";250.0;10250.0;922.5;922.5;0.0;0
"MEE";"051/2023-24";"04-08-2023";"SC232400218";"29-07-2023";"PUR/JW/2021000011";"03-12-2020";"side";"side";22;"F5-61M1";"COVER RETAINER, DISCHARGE  SIZE A/B/C, WELL SERVICE PUMP MACHINED";47;"Nos";671.0;31537.0;2838.33;2838.33;0.0;0
"MEE";"052/2023-24";"09-08-2023";"SC232400228";"04-08-2023";"PUR/JW/2021000011";"03-12-2020";"side";"side";19;"F5-61";"COVER RETAINER SUCTION SIZE A/B/C WELL SERVICE PUMP SERIES 200 COMMON FORGING";48;"Nos";697.0;33456.0;3011.04;3011.04;0.0;0
"MEE";"052/2023-24";"09-08-2023";"SC232400228";"04-08-2023";"PUR/JW/2021000011";"03-12-2020";"side";"side";22;"F5-61M1";"COVER RETAINER, DISCHARGE  SIZE A/B/C, WELL SERVICE PUMP MACHINED";143;"Nos";671.0;95953.0;8635.77;8635.77;0.0;0
"MEE";"053/2023-24";"16-08-2023";"600/23-24";"11-08-2023";"63/2020-2021";"18-06-2020";"amst";"amst";2;"AT0000055373,B";"END SHIELD-NON DRIVING SIDE PART";30;"Nos";18000.0;540000.0;0.0;0.0;97200.0;0
"MEE";"054/2023-24";"18-08-2023";"";"";"00017";"18-08-2023";"pinn";"pinn";1;"FRONT COVER";"BACK MOUNTING BRACKET BOTTOM COVER CABLE HOLDER MULTIPORT PLATE TOP COVER FRONT COVER";1;"Nos";9295.0;9295.0;836.55;836.55;0.0;0
"MEE";"055/2023-24";"21-08-2023";"2023-24/07718";"03-08-2023";"2022-23/00073";"06-04-22";"hite";"alst";1;"4316";"AIR ADOPTOR";153;"Nos";1415.0;216495.0;0.0;0.0;38969.1;0
"MEE";"055/2023-24";"21-08-2023";"2023-24/07714";"03-08-2023";"2023-24 /00017";"03-04-2023";"hite";"alst";2;"4348";"SUPPORT CASTING BRACKET TRANSFORMER";42;"Nos";3880.0;162920.0;0.0;0.0;29332.8;0
